UF;SMP2005;SMP2006;SMP2007;SMP2008;SMP2009;SMP2010;SMP2011;SMP2012;SMP2013;SMP2014
AC;245.673;277.606;369.472;464.650;538.339;658.802;813.950;958.104;916.781;906.477
AL;1.004.401;1.313.369;1.574.379;1.983.658;2.314.783;2.798.956;3.451.308;3.737.007;3.988.830;4.174.266
AM;1.218.818;1.317.826;1.693.476;2.143.741;2.535.887;3.210.296;3.920.371;4.150.495;4.116.084;4.155.800
AP;276.787;290.521;344.666;426.250;517.639;656.662;844.097;953.140;934.022;933.703
BA;3.939.639;5.269.562;6.854.099;8.792.155;10.263.853;12.561.991;15.857.031;17.131.713;17.960.136;18.719.145
CE;2.529.657;3.346.564;4.258.685;5.376.558;6.321.736;7.734.210;9.340.320;10.284.331;10.964.485;11.657.610
DF;2.714.514;2.684.909;2.886.316;3.446.953;4.105.143;4.501.606;5.505.330;5.958.447;6.107.863;6.259.975
ES;1.466.338;1.804.560;2.291.245;2.966.342;3.359.589;3.749.024;4.305.908;4.581.729;4.503.161;4.393.388
GO;3.133.387;3.585.502;4.166.829;5.074.584;5.702.107;6.874.719;8.288.442;8.932.499;9.319.927;9.579.194
MA;1.112.109;1.299.434;1.712.266;2.253.630;2.871.408;3.981.782;5.313.540;6.025.379;6.415.868;6.668.921
MG;8.866.812;10.884.282;13.394.374;16.119.137;18.121.985;20.415.733;23.803.574;25.534.730;26.178.327;26.810.130
MS;1.415.812;1.494.618;1.815.741;2.257.858;2.542.205;2.888.972;3.449.512;3.705.033;3.815.259;3.816.951
MT;1.518.430;1.631.508;1.969.031;2.476.426;2.983.797;3.417.661;4.004.241;4.496.830;4.572.718;4.716.690
PA;2.082.700;2.391.579;3.041.586;3.971.964;4.827.709;6.149.424;7.915.251;8.846.574;9.097.552;9.338.657
PB;1.114.549;1.472.822;1.850.586;2.196.822;2.684.754;3.410.413;4.229.733;4.674.159;4.918.645;5.162.240
PE;3.392.100;4.368.876;5.422.855;6.633.059;7.651.990;9.371.357;10.917.240;11.831.680;12.441.544;13.042.116
PI;652.207;874.087;1.098.242;1.451.727;1.835.495;2.586.292;3.328.674;3.744.793;3.918.761;4.179.463
PR;5.142.823;5.756.811;6.775.300;8.402.082;9.632.408;11.339.341;13.188.743;14.269.819;14.610.598;15.350.853
RJ;9.648.493;10.513.198;12.596.874;15.381.334;16.676.473;18.300.849;21.713.099;23.106.547;24.132.404;24.770.167
RN;1.181.735;1.520.521;1.876.169;2.271.759;2.691.640;3.270.160;4.029.718;4.366.288;4.553.578;4.685.805
RO;659.434;719.065;905.785;1.141.212;1.333.068;1.693.224;2.054.026;2.350.651;2.403.852;2.441.892
RR;136.104;144.872;200.852;255.108;305.008;385.042;480.078;525.281;507.307;513.126
RS;7.011.271;7.605.900;8.472.270;9.753.767;10.980.469;12.304.739;14.116.397;15.527.256;16.214.100;16.561.405
SC;3.279.499;3.628.264;4.239.586;5.084.072;5.865.990;6.692.697;7.698.617;8.451.136;8.771.606;9.089.652
SE;704.716;916.686;1.215.420;1.554.906;1.773.521;2.066.689;2.473.194;2.685.732;2.722.230;2.678.395
SP;21.305.222;24.250.561;29.298.610;37.926.329;44.512.302;50.590.165;59.551.428;63.152.523;65.085.183;68.102.497
TO;457.106;555.118;655.389;835.320;1.010.070;1.333.227;1.637.681;1.826.027;1.928.978;2.020.278
