UF;SMP2005;SMP2006;SMP2007;SMP2008;SMP2009;SMP2010;SMP2011;SMP2012;SMP2013;SMP2014
AC;245,673;277,606;369,472;464,65;538,339;658,802;813,95;958,104;916,781;906,477
AL;1004,401;1313,369;1574,379;1983,658;2314,783;2798,956;3451,308;3737,007;3988,83;4174,266
AM;1218,818;1317,826;1693,476;2143,741;2535,887;3210,296;3920,371;4150,495;4116,084;4155,8
AP;276,787;290,521;344,666;426,25;517,639;656,662;844,097;953,14;934,022;933,703
BA;3939,639;5269,562;6854,099;8792,155;10263,853;12561,991;15857,031;17131,713;17960,136;18719,145
CE;2529,657;3346,564;4258,685;5376,558;6321,736;7734,21;9340,32;10284,331;10964,485;11657,61
DF;2714,514;2684,909;2886,316;3446,953;4105,143;4501,606;5505,33;5958,447;6107,863;6259,975
ES;1466,338;1804,56;2291,245;2966,342;3359,589;3749,024;4305,908;4581,729;4503,161;4393,388
GO;3133,387;3585,502;4166,829;5074,584;5702,107;6874,719;8288,442;8932,499;9319,927;9579,194
MA;1112,109;1299,434;1712,266;2253,63;2871,408;3981,782;5313,54;6025,379;6415,868;6668,921
MG;8866,812;10884,282;13394,374;16119,137;18121,985;20415,733;23803,574;25534,73;26178,327;26810,13
MS;1415,812;1494,618;1815,741;2257,858;2542,205;2888,972;3449,512;3705,033;3815,259;3816,951
MT;1518,43;1631,508;1969,031;2476,426;2983,797;3417,661;4004,241;4496,83;4572,718;4716,69
PA;2082,7;2391,579;3041,586;3971,964;4827,709;6149,424;7915,251;8846,574;9097,552;9338,657
PB;1114,549;1472,822;1850,586;2196,822;2684,754;3410,413;4229,733;4674,159;4918,645;5162,24
PE;3392,1;4368,876;5422,855;6633,059;7651,99;9371,357;10917,24;11831,68;12441,544;13042,116
PI;652,207;874,087;1098,242;1451,727;1835,495;2586,292;3328,674;3744,793;3918,761;4179,463
PR;5142,823;5756,811;6775,3;8402,082;9632,408;11339,341;13188,743;14269,819;14610,598;15350,853
RJ;9648,493;10513,198;12596,874;15381,334;16676,473;18300,849;21713,099;23106,547;24132,404;24770,167
RN;1181,735;1520,521;1876,169;2271,759;2691,64;3270,16;4029,718;4366,288;4553,578;4685,805
RO;659,434;719,065;905,785;1141,212;1333,068;1693,224;2054,026;2350,651;2403,852;2441,892
RR;136,104;144,872;200,852;255,108;305,008;385,042;480,078;525,281;507,307;513,126
RS;7011,271;7605,9;8472,27;9753,767;10980,469;12304,739;14116,397;15527,256;16214,1;16561,405
SC;3279,499;3628,264;4239,586;5084,072;5865,99;6692,697;7698,617;8451,136;8771,606;9089,652
SE;704,716;916,686;1215,42;1554,906;1773,521;2066,689;2473,194;2685,732;2722,23;2678,395
SP;21305,222;24250,561;29298,61;37926,329;44512,302;50590,165;59551,428;63152,523;65085,183;68102,497
TO;457,106;555,118;655,389;835,32;1010,07;1333,227;1637,681;1826,027;1928,978;2020,278
TOTAL;86210,336;99918,621;120980,103;150641,403;173959,368;202944,033;242231,503;261807,903;271099,799;280728,796
