Processo;Superintendencia;Ano_instauracao;Tipologia_processo;Grupo_economico;Servico_telecom;Renuncia;Valor_multa
535000000352015;Superintendencia 1;2015;Direitos do Consumidor - STFC;Grupo 3;STFC;Sim;2500,00
535000000752014;Superintendencia 1;2013;Gestão da Qualidade - SeAC;Outros;SEAC;Não;577941,06
535000000782014;Superintendencia 1;2013;Gestão da Qualidade - SeAC;Outros;SEAC;Não;1430,00
535000000792014;Superintendencia 1;2013;Gestão da Qualidade - SeAC;Grupo 2;SEAC;Sim;876174,78
535000000802014;Superintendencia 1;2013;Outros;Outros;SEAC;Não;440,00
535000000812014;Superintendencia 1;2013;Gestão da Qualidade - SeAC;Outros;SEAC;Não;330,00
535000000822014;Superintendencia 1;2013;Outros;Outros;SEAC;Sim;2560,00
535000000832014;Superintendencia 1;2013;Outros;Outros;SEAC;Não;770,00
535000000842014;Superintendencia 1;2013;Gestão da Qualidade - SeAC;Grupo 2;SEAC;Sim;302551,22
535000000862014;Superintendencia 1;2013;Gestão da Qualidade - SeAC;Outros;SEAC;Não;44710,29
535000000872014;Superintendencia 1;2013;Outros;Outros;SEAC;Não;990,00
535000000882014;Superintendencia 1;2013;Gestão da Qualidade - SeAC;Outros;SEAC;Não;380364,36
535000003532013;Superintendencia 1;2013;Disponibilidade e Funcionamento de TUP;Grupo 1;STFC;Não;19708,48
535000003552013;Superintendencia 1;2013;Disponibilidade e Funcionamento de TUP;Grupo 1;STFC;Não;73309,82
535000003562013;Superintendencia 1;2013;Disponibilidade e Funcionamento de TUP;Grupo 1;STFC;Não;7000,00
535000004022016;Superintendencia 1;2016;Outros;Outros;SEAC;Sim;17227,66
535000004692013;Superintendencia 1;2013;Disponibilidade e Funcionamento de TUP;Grupo 1;STFC;Não;6000,00
535000006772014;Superintendencia 1;2013;Outros;Outros;SEAC;Sim;220,00
535000006802014;Superintendencia 1;2013;Outros;Outros;SEAC;Sim;110,00
535000006812014;Superintendencia 1;2013;Gestão da Qualidade - SeAC;Outros;SEAC;Não;36728,84
535000006822014;Superintendencia 1;2013;Outros;Outros;SEAC;Não;770,00
535000006832014;Superintendencia 1;2013;Outros;Outros;SEAC;Sim;16768,42
535000006842014;Superintendencia 1;2014;Gestão da Qualidade - SeAC;Outros;SEAC;Não;163377,86
535000006862014;Superintendencia 1;2013;Gestão da Qualidade - SeAC;Outros;SEAC;Não;43244,97
535000006872014;Superintendencia 1;2014;Outros;Outros;SEAC;Não;660,00
535000006882014;Superintendencia 1;2014;Outros;Outros;SEAC;Sim;28741,09
535000006892014;Superintendencia 1;2014;Outros;Outros;SEAC;Não;480,00
535000006902014;Superintendencia 1;2014;Gestão da Qualidade - SeAC;Outros;SEAC;Não;21670,00
535000006912014;Superintendencia 1;2014;Outros;Outros;SEAC;Sim;220,00
535000006922014;Superintendencia 1;2014;Gestão da Qualidade - SeAC;Outros;SEAC;Não;9506,66
535000006932014;Superintendencia 1;2014;Outros;Outros;SEAC;Não;4844,65
535000007202013;Superintendencia 1;2013;Descumprimento de Determinação;Grupo 2;STFC;Não;31982,16
535000008012016;Superintendencia 1;2016;Atendimento - SCM;Outros;SCM;Sim;1185,64
535000008212014;Superintendencia 1;2014;Obrigações Legais e Contratuais;Outros;STFC;Não;158558,45
535000009602016;Superintendencia 1;2016;Outros;Outros;SCM;Sim;646,40
535000012612016;Superintendencia 2;2015;Não Outorgado - Serviço;Outros;SCM;Não;4543,67
535000013312014;Superintendencia 1;2014;Gestão da Qualidade - SeAC;Outros;SEAC;Não;220,00
535000013332014;Superintendencia 1;2014;Descumprimento de Determinação;Outros;SEAC;Não;8500,00
535000013342014;Superintendencia 1;2014;Outros;Outros;SEAC;Sim;7000,00
535000013352014;Superintendencia 1;2014;Outros;Outros;SEAC;Não;2000,00
535000013362014;Superintendencia 1;2014;Gestão da Qualidade - SeAC;Outros;SEAC;Não;875636,99
535000013372014;Superintendencia 1;2014;Gestão da Qualidade - SeAC;Outros;SEAC;Não;52432,47
535000013442014;Superintendencia 1;2014;Bens Reversíveis;Grupo 1;STFC;Não;430000,00
535000013532014;Superintendencia 1;2014;Gestão da Qualidade - SeAC;Grupo 3;SEAC;Não;5312900,01
535000013632014;Superintendencia 1;2014;Gestão da Qualidade - SeAC;Outros;SEAC;Não;3309,24
535000013642014;Superintendencia 1;2014;Gestão da Qualidade - SeAC;Outros;SEAC;Não;21435,96
535000014342013;Superintendencia 1;2013;Outros;Outros;SCM;Não;220,00
535000017832014;Superintendencia 1;2014;Outros;Grupo 4;STFC;Sim;198751,31
535000019112016;Superintendencia 1;2016;Bens Reversíveis;Grupo 5;STFC;Sim;15600,00
535000020022014;Superintendencia 1;2016;Outros;Grupo 6;SMP;Sim;35735,06
535000020552019;Superintendencia 1;2014;Direitos do Consumidor - STFC;Grupo 6;SMP;Não;15314,00
535000021472017;Superintendencia 1;2019;Direitos do Consumidor - STFC;Grupo 1;STFC;Não;23318,19
535000022372016;Superintendencia 1;2013;Descumprimento de Determinação;Grupo 2;SMP;Não;251081,07
535000022392013;Superintendencia 1;2016;Descumprimento de Determinação;Grupo 2;STFC;Não;196222,19
535000025022014;Superintendencia 1;2013;Bens Reversíveis;Grupo 2;STFC;Não;17500,00
535000027252016;Superintendencia 1;2013;Outros;Outros;STFC;Não;404987,58
535000028832019;Superintendencia 1;2016;Obrigações Legais e Contratuais;Outros;SCM;Não;3788,57
535000034402016;Superintendencia 1;2016;Obrigações Legais e Contratuais;Outros;SCM;Não;17973,78
535000041022014;Superintendencia 1;2015;Descumprimento de Determinação;Grupo 1;SCM;Não;3000,00
535000042032013;Superintendencia 1;2015;Interconexão;Outros;SEAC;Não;25218,04
535000042042013;Superintendencia 1;2015;Outros;Outros;SEAC;Não;75776,26
535000042212013;Superintendencia 1;2013;Obrigações Legais e Contratuais;Outros;SEAC;Não;2230,90
535000042222013;Superintendencia 1;2013;Obrigações Legais e Contratuais;Outros;SEAC;Sim;8667,89
535000042332015;Superintendencia 1;2013;Interconexão;Outros;SCM;Não;33090,14
535000042922019;Superintendencia 1;2013;Não Outorgado - Serviço;Outros;STFC;Não;1069,10
535000043252016;Superintendencia 1;2015;Interconexão;Outros;SCM;Não;504904,75
535000046242016;Superintendencia 2;2019;Não Outorgado - Serviço;Grupo 1;STFC;Não;40930,71
535000047342016;Superintendencia 1;2016;Interconexão;Grupo 1;STFC;Não;3045213,20
535000048402014;Superintendencia 1;2016;Bens Reversíveis;Grupo 6;STFC;Não;1005600,00
535000049032013;Superintendencia 1;2016;Interconexão;Grupo 1;STFC;Não;110000,00
535000055222016;Superintendencia 1;2013;Outros;Grupo 1;STFC;Não;130509,13
535000055842016;Superintendencia 1;2016;Obrigações Legais e Contratuais;Grupo 1;SMP;Não;168419,95
535000056382014;Superintendencia 1;2013;Outros;Grupo 5;STFC;Sim;15600,00
535000056392014;Superintendencia 1;2014;Outros;Grupo 5;STFC;Sim;19726,26
535000056442014;Superintendencia 2;2013;Bens Reversíveis;Grupo 2;STFC;Sim;17500,00
535000056842018;Superintendencia 1;2014;Outros;Grupo 5;SCM;Não;174,55
535000058072019;Superintendencia 1;2014;Outros;Grupo 1;SCM;Não;148,21
535000065092013;Superintendencia 1;2013;Descumprimento de Determinação;Outros;SEAC;Sim;103274,85
535000065102013;Superintendencia 1;2013;Outros;Outros;SEAC;Não;5606,90
535000065112013;Superintendencia 1;2013;Atendimento - SCM;Outros;SEAC;Sim;968,00
535000065132013;Superintendencia 1;2013;Outros;Outros;SEAC;Não;3898,74
535000066022019;Superintendencia 1;2013;Outros;Outros;SCM;Não;496,67
535000067352014;Superintendencia 1;2013;Descumprimento de Determinação;Outros;SEAC;Não;256397,71
535000069772016;Superintendencia 1;2016;Outros;Grupo 1;STFC;Não;312349,69
535000070072014;Superintendencia 1;2014;Descumprimento de Determinação;Grupo 2;STFC;Não;4117669,49
535000071192016;Superintendencia 1;2014;Direitos do Consumidor - STFC;Grupo 3;STFC;Sim;5000,00
535000074042014;Superintendencia 1;2016;Gestão da Qualidade - STFC;Grupo 6;STFC;Sim;640474,11
535000074172014;Superintendencia 1;2015;Outros;Grupo 5;STFC;Não;750,00
535000074222014;Superintendencia 1;2014;Gestão da Qualidade - STFC;Outros;STFC;Não;3200,00
535000074232014;Superintendencia 1;2014;Gestão da Qualidade - STFC;Grupo 2;STFC;Sim;13226262,07
535000074262014;Superintendencia 1;2013;Outros;Grupo 4;STFC;Sim;1396365,58
535000074512014;Superintendencia 1;2014;Gestão da Qualidade - STFC;Outros;STFC;Não;27000,00
535000074732014;Superintendencia 1;2014;Outros;Grupo 3;SMP;Sim;63835,78
535000075562014;Superintendencia 1;2014;Universalização;Grupo 3;SMP;Não;2224937,76
535000075572014;Superintendencia 1;2014;Outros;Grupo 4;SMP;Sim;20000,00
535000075592014;Superintendencia 1;2014;Outros;Grupo 2;SMP;Sim;1721065,48
535000089532013;Superintendencia 1;2013;Obrigações Legais e Contratuais;Grupo 7;SMP;Sim;373611,27
535000089592016;Superintendencia 2;2019;Obstrução à Fiscalização;Outros;STFC;Não;440,00
535000095922019;Superintendencia 1;2013;Obrigações Legais e Contratuais;Grupo 7;SCM;Não;236,66
535000096242013;Superintendencia 1;2013;Outros;Grupo 6;SEAC;Não;3567,75
535000096362013;Superintendencia 1;2016;Outros;Grupo 3;SMP;Sim;658215,46
535000098372013;Superintendencia 1;2013;Outros;Grupo 3;SEAC;Sim;5349,07
535000098382013;Superintendencia 1;2013;Outros;Grupo 2;SEAC;Não;70317,28
535000101212018;Superintendencia 1;2013;Outros;Grupo 3;SCM;Não;161,89
535000101222016;Superintendencia 1;2013;Obrigações Legais e Contratuais;Outros;SCM;Não;866,03
535000108862014;Superintendencia 1;2014;Bens Reversíveis;Grupo 1;STFC;Não;11531520,00
535000116582015;Superintendencia 1;2014;Outros;Outros;SCM;Não;1074,20
535000116782015;Superintendencia 1;2014;Outros;Outros;SEAC;Sim;13223,33
535000118352014;Superintendencia 1;2014;Outros;Outros;SCM;Não;110,00
535000118482016;Superintendencia 1;2014;Outros;Grupo 3;SCM;Sim;59723,21
535000120972014;Superintendencia 1;2014;Outros;Grupo 3;SMP;Não;5916031,81
535000121592016;Superintendencia 1;2016;Direitos do Consumidor - STFC;Grupo 3;STFC;Sim;13461,02
535000124882018;Superintendencia 1;2014;Outros;Outros;SCM;Sim;139,65
535000126442016;Superintendencia 1;2014;Outros;Outros;SCM;Sim;390,97
535000126552016;Superintendencia 1;2014;Outros;Grupo 1;STFC;Não;25268,13
535000126652014;Superintendencia 2;2014;Certificação e Não Outorgado - Serviço;Outros;STFC;Não;271235,10
535000128972014;Superintendencia 1;2014;Outros;Outros;SEAC;Sim;880,00
535000129042014;Superintendencia 1;2014;Outros;Outros;SCM;Não;2336,96
535000129052014;Superintendencia 1;2014;Direitos do Consumidor - SCM;Outros;SCM;Não;440,00
535000129112014;Superintendencia 1;2014;Direitos do Consumidor - SCM;Outros;SCM;Não;440,00
535000130702014;Superintendencia 1;2014;Bens Reversíveis;Grupo 2;STFC;Não;15860160,00
535000134752016;Superintendencia 1;2014;Interconexão;Grupo 2;STFC;Não;419088,60
535000135242016;Superintendencia 1;2014;Universalização;Grupo 6;STFC;Não;3932,01
535000135342016;Superintendencia 1;2014;Universalização;Grupo 5;STFC;Sim;1000,00
535000136582013;Superintendencia 1;2016;Interconexão;Outros;SCM;Não;3021,42
535000141032016;Superintendencia 1;2014;Outros;Grupo 2;STFC;Não;1600000,00
535000144782016;Superintendencia 1;2016;Interconexão;Grupo 2;STFC;Sim;86235,10
535000147172015;Superintendencia 1;2016;Outros;Grupo 6;SCM;Não;110,00
535000151722016;Superintendencia 1;2014;Interconexão;Grupo 4;STFC;Não;78657,06
