Num_processo;Superintendencia;Tipologia_processo;Servico_telecom;Grupo_economico;Duracao_processo;Renuncia;Situacao_multa;Recurso_juridico;Cadin;Divida_ativa;Valor_multa;Saldo_devedor
5,35E+14;SCO;Obrigações Legais e Contratuais;SMP;TELEFÔNICA;37;Sim;Quitado;Nao;Nao;Nao;192.298,28;0
5,35E+14;SCO;Alteração Societária;SCM;OUTROS;74;Nao;Devedor;Nao;Nao;Nao;236,66;236,66
5,35E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;62;Sim;Quitado;Nao;Nao;Nao;3.948,65;0
5,35E+14;SCO;Alteração Societária;SCM;OUTROS;91;Nao;Devedor;Nao;Nao;Nao;496,67;496,67
5,3524E+14;SFI;Certificação e Não Outorgado - Radiofrequência;SCM;OUTROS;120;Nao;Devedor;Nao;Nao;Nao;13.392,37;13.392,37
5,35E+14;SFI;Não Outorgado - Serviço;SCM;OUTROS;108;Nao;Devedor;Nao;Nao;Nao;1.069,10;1.069,10
5,3504E+14;SFI;Licenciamento de Estação;SMP;TELEFÔNICA;138;Sim;Quitado;Nao;Nao;Nao;3.750,00;0
5,35E+14;SCO;Direitos do Consumidor - SCM;SCM;OUTROS;151;Nao;Devedor;Nao;Nao;Nao;168,3;168,3
5,3504E+14;SFI;Licenciamento de Estação;SMP;OUTROS;202;Nao;Devedor;Nao;Nao;Nao;1.875,00;1.875,00
5,35E+14;SFI;Certificação e Não Outorgado - Radiofrequência;SMP;OUTROS;187;Nao;Devedor;Nao;Nao;Nao;640;640
5,3504E+14;SFI;Licenciamento de Estação;SMP;OUTROS;210;Nao;Devedor;Nao;Nao;Nao;6.385,73;6.385,73
5,3512E+14;SFI;Não Outorgado - Radiofrequência;SCM;OUTROS;136;Sim;Quitado;Nao;Nao;Nao;478,51;0
5,3512E+14;SFI;Não Outorgado - Radiofrequência;SCM;OUTROS;110;Nao;Devedor;Nao;Nao;Nao;3.470,10;3.470,10
5,35001E+14;SCO;Direitos do Consumidor - SCM;SCM;OUTROS;205;Nao;Devedor;Nao;Nao;Nao;660;660
5,3512E+14;SFI;Não Outorgado - Radiofrequência;SCM;OUTROS;144;Nao;Devedor;Nao;Nao;Nao;440;440
5,35001E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;218;Nao;Devedor;Nao;Nao;Nao;20.200,00;20.200,00
5,3554E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;157;Nao;Quitado;Nao;Nao;Nao;9.656,25;0
5,35E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;128;Nao;Devedor;Nao;Nao;Nao;20.400,00;20.400,00
5,35E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;105;Nao;Devedor;Nao;Nao;Nao;330.000,00;330.000,00
5,35E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;114;Nao;Devedor;Nao;Nao;Nao;100.000,00;100.000,00
5,3512E+14;SFI;Não Outorgado - Radiofrequência;SMP;OUTROS;154;Nao;Quitado;Nao;Nao;Nao;440;0
5,3512E+14;SFI;Não Outorgado - Radiofrequência;SCM;OUTROS;219;Sim;Quitado;Nao;Nao;Nao;330;0
5,3512E+14;SFI;Não Outorgado - Radiofrequência;SCM;OUTROS;185;Nao;Quitado;Nao;Nao;Nao;638,02;0
5,35E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;186;Nao;Devedor;Nao;Nao;Nao;100.000,00;100.000,00
5,35E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;253;Nao;Devedor;Nao;Nao;Nao;440;440
5,35E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;176;Sim;Quitado;Nao;Nao;Nao;15.000,00;0
