Numero_processo;Superintendencia;Status_processo;Fase_processo;Situacao_processo;Data_instauracao;Ano_instauracao;Data_cumprimento_intimacao;Ano_cumprimento_intimacao;Data_prazo_regimental;Ano_prazo_regimental;Data_DOU;Ano_DOU;Data_encerramento;Ano_encerramento;Tipologia;Grupo_economico;Servico_telecom;Sistema_cadastro;Unidade_responsavel;Pagamento_multa;Situacao_multa;Renuncia;Recurso_juridico;CADIN;Divida_ativa;Valor_multa;Saldo_devedor
535000117172014;SCO;Encerrado;Trânsito em Julgado;Formalização do Trânsito em Julgado Administrativo;29/04/2019;2019;;;;;05/06/2019;2019;05/06/2019;2019;PADO: Obrigações Legais e Contratuais;TELEFÔNICA;SERVIÇO MOVEL PESSOAL;SEI;COGE;1;1;1;0;0;0;192298,28;0,00
535000095922019;SCO;Encerrado;Trânsito em Julgado;Formalização do Trânsito em Julgado Administrativo;12/04/2019;2019;18/04/2019;2019;15/10/2019;2019;25/06/2019;2019;25/06/2019;2019;PADO: Alteração Societária;OUTROS;SERVIÇO DE COMUNICAÇÃO MULTIMÍDIA;SEI;COGE;0;3;0;0;0;0;236,66;236,66
535000092782019;SCO;Ativo;Decisória;Expedição do Ofício da Decisão;12/03/2019;2019;28/03/2019;2019;24/09/2019;2019;;;;;PADO: Transferência Irregular de Outorga;OUTROS;SERVIÇO DE COMUNICAÇÃO MULTIMÍDIA;SEI;COGE;0;3;0;0;0;0;38000,00;38000,00
535000087742019;SFI;Encerrado;Trânsito em Julgado;Formalização do Trânsito em Julgado Administrativo;07/03/2019;2019;19/03/2019;2019;15/09/2019;2019;08/05/2019;2019;08/05/2019;2019;PADO: Obstrução à Fiscalização;OUTROS;SERVIÇO DE COMUNICAÇÃO MULTIMÍDIA;SEI;GR09CO;1;1;1;0;0;0;3948,65;0,00
535000071492019;SCO;Ativo;Decisória;Expedição do Ofício da Decisão;25/02/2019;2019;22/03/2019;2019;18/09/2019;2019;;;;;PADO: Alteração Societária;OUTROS;SERVIÇO DE COMUNICAÇÃO MULTIMÍDIA;SEI;COGE;0;3;0;0;0;0;430,58;430,58
535000066022019;SCO;Encerrado;Trânsito em Julgado;Formalização do Trânsito em Julgado Administrativo;20/02/2019;2019;06/03/2019;2019;02/09/2019;2019;22/05/2019;2019;22/05/2019;2019;PADO: Alteração Societária;OUTROS;SERVIÇO DE COMUNICAÇÃO MULTIMÍDIA;SEI;COGE;0;3;0;0;0;0;372,50;372,50
535000058072019;SCO;Ativo;Decisória;Cumprimento da Intimação da Decisão;14/02/2019;2019;06/03/2019;2019;02/09/2019;2019;;;;;PADO: Alteração Societária;OUTROS;SERVIÇO DE COMUNICAÇÃO MULTIMÍDIA;SEI;COGE;1;1;0;0;0;0;148,21;0,00
535240006082019;SFI;Ativo;Decisória;Formalização da Decisão;14/02/2019;2019;14/02/2019;2019;13/08/2019;2019;;;;;PADO: Certificação e Não Outorgado - Radiofrequência;OUTROS;SERVIÇO DE COMUNICAÇÃO MULTIMÍDIA;SEI;GR04CO;0;3;0;0;0;0;13392,37;13392,37
535000042922019;SFI;Ativo;Decisória;Expedição do Ofício da Decisão;04/02/2019;2019;11/02/2019;2019;10/08/2019;2019;;;;;PADO: Não Outorgado - Serviço;OUTROS;SERVIÇO DE COMUNICAÇÃO MULTIMÍDIA;SEI;FIGF;0;3;0;0;0;0;1069,10;1069,10
535040004642019;SFI;Encerrado;Trânsito em Julgado;Formalização do Trânsito em Julgado Administrativo;04/02/2019;2019;04/02/2019;2019;03/08/2019;2019;22/06/2019;2019;22/06/2019;2019;PADO: Licenciamento de Estação;TELEFÔNICA;SERVIÇO MOVEL PESSOAL;SEI;GR01CO;0;3;0;0;0;0;3750,00;3750,00
535000028832019;SCO;Ativo;Decisória;Expedição do Ofício da Decisão;23/01/2019;2019;29/01/2019;2019;28/07/2019;2019;;;;;PADO: Interconexão;OUTROS;SERVICO TELEFONICO FIXO COMUTADO;SEI;COGE;0;3;0;0;0;0;3788,57;3788,57
535000023592019;SCO;Encerrado;Trânsito em Julgado;Formalização do Trânsito em Julgado Administrativo;21/01/2019;2019;31/01/2019;2019;30/07/2019;2019;21/06/2019;2019;21/06/2019;2019;PADO: Direitos do Consumidor - SCM;OUTROS;SERVIÇO DE COMUNICAÇÃO MULTIMÍDIA;SEI;CODI;0;3;0;0;0;0;168,30;168,30
535000020552019;SCO;Ativo;Decisória;Formalização da Decisão;17/01/2019;2019;13/02/2019;2019;12/08/2019;2019;;;;;PADO: Direitos do Consumidor - STFC;TIM;SERVIÇO MOVEL PESSOAL;SEI;CODI;0;3;0;0;0;0;20418,67;20418,67
535000020552019;SCO;Ativo;Decisória;Formalização da Decisão;17/01/2019;2019;13/02/2019;2019;12/08/2019;2019;;;;;PADO: Direitos do Consumidor - STFC;TIM;SERVIÇO MOVEL PESSOAL;SEI;CODI;0;3;0;0;0;0;20418,67;20418,67
535540034272018;SFI;Ativo;Decisória;Formalização da Decisão;04/01/2019;2019;16/01/2019;2019;15/07/2019;2019;;;;;PADO: Certificação e Não Outorgado - Radiofrequência;OUTROS;SERVIÇO MOVEL PESSOAL;SEI;GR08CO;0;3;0;0;0;0;640,00;640,00
535000580012018;SCO;Ativo;Decisória;Cumprimento da Intimação da Decisão;21/12/2018;2018;06/02/2019;2019;05/08/2019;2019;;;;;PADO: Remuneração de Redes;OUTROS;SERVICO TELEFONICO FIXO COMUTADO;SEI;COGE;0;3;0;0;0;0;16729,76;16729,76
535040003072018;SFI;Ativo;Decisória;Formalização da Decisão;12/12/2018;2018;14/12/2018;2018;12/06/2019;2019;;;;;PADO: Licenciamento de Estação;OUTROS;SERVIÇO MOVEL PESSOAL;SEI;GR01CO;0;3;0;0;0;0;2500,00;2500,00
535540034252018;SFI;Ativo;Decisória;Formalização da Decisão;06/12/2018;2018;06/12/2018;2018;04/06/2019;2019;;;;;PADO: Certificação e Não Outorgado - Radiofrequência;OUTROS;SERVIÇO MOVEL PESSOAL;SEI;GR08CO;0;3;0;0;0;0;640,00;640,00
535000481582018;SFI;Ativo;Decisória;Formalização da Decisão;05/12/2018;2018;05/12/2018;2018;03/06/2019;2019;;;;;PADO: Certificação e Não Outorgado - Radiofrequência;OUTROS;SERVIÇO MOVEL PESSOAL;SEI;GR08CO;0;3;0;0;0;0;640,00;640,00
535040191462018;SFI;Ativo;Decisória;Formalização da Decisão;04/12/2018;2018;04/12/2018;2018;02/06/2019;2019;;;;;PADO: Licenciamento de Estação;OUTROS;SERVIÇO MOVEL PESSOAL;SEI;GR01CO;0;3;0;0;0;0;8514,30;8514,30
535120011092018;SFI;Encerrado;Trânsito em Julgado;Formalização do Trânsito em Julgado Administrativo;03/12/2018;2018;30/11/2018;2018;29/05/2019;2019;18/04/2019;2019;18/04/2019;2019;PADO: Não Outorgado - Radiofrequência;OUTROS;SERVIÇO DE COMUNICAÇÃO MULTIMÍDIA;SEI;GR02CO;1;1;1;0;0;0;478,51;0,00
